Address,Varies,P1,P2,P3
0x084B,No,0x00,0x00,0x00
0x084C,No,0x00,0x00,0x00
0x084D,No,0x00,0x00,0x00
0x084E,No,0x00,0x00,0x00
0x084F,No,0x00,0x00,0x00
0x0850,No,0x00,0x00,0x00
0x0851,No,0x00,0x00,0x00
0x0852,No,0x00,0x00,0x00
0x0853,No,0x00,0x00,0x00
0x0854,No,0x00,0x00,0x00
0x0855,No,0x00,0x00,0x00
0x0856,No,0x00,0x00,0x00
0x0857,No,0x00,0x00,0x00
0x0858,No,0x00,0x00,0x00
0x0859,No,0x00,0x00,0x00
0x085A,No,0x00,0x00,0x00
0x085B,No,0x00,0x00,0x00
0x085C,No,0x00,0x00,0x00
0x085D,No,0x00,0x00,0x00
0x085E,No,0x00,0x00,0x00
0x085F,No,0x00,0x00,0x00
0x0860,No,0x00,0x00,0x00
0x0861,No,0x00,0x00,0x00
0x090E,No,0x02,0x02,0x02
0x0943,No,0x00,0x00,0x00
0x0949,No,0x0F,0x0F,0x0F
0x094A,No,0x0F,0x0F,0x0F
0x094E,No,0x49,0x49,0x49
0x094F,No,0x02,0x02,0x02
0x095E,No,0x00,0x00,0x00
0x0A03,No,0x0F,0x0F,0x0F
0x0A04,No,0x00,0x00,0x00
0x0A05,No,0x0F,0x0F,0x0F
0x0B44,No,0xCF,0xCF,0xCF
0x0B45,No,0x00,0x00,0x00
0x0B46,No,0x00,0x00,0x00
0x0B47,No,0x00,0x00,0x00
0x0B48,No,0x00,0x00,0x00
0x0B4A,No,0x00,0x00,0x00
0x0B57,No,0x0E,0x0E,0x0E
0x0B58,No,0x01,0x01,0x01
